gene,score
LTF,0.9998412041341216
P2RY11,0.998274282534491
SLC34A3,0.9976241695451251
PCDHGA2,0.9967725079567595
ZNF98,0.9958081963096931
MS4A14,0.9955496440665321
RPL9,0.9940322613481367
SERPINA5,0.9938218907565878
FAM160A1,0.992749000739691
HTR2B,0.9925298081555939
MSR1,0.9919916666101161
AGMO,0.9918192984480086
C4B,0.9917602589594132
LAMA2,0.9911053956663665
SLC22A6,0.9905197510840881
GDPD2,0.9903154880258423
FPR3,0.990271378063098
PLCE1,0.9900318270346576
SERPINA3,0.9897386654361123
GFAP,0.9895194728520155
C4A,0.9888863252329355
ABCA6,0.9886725615673293
MS4A7,0.9882708215989532
SGK1,0.9869203781241738
DHRS9,0.9864548483635215
TMC6,0.9862960524976426
ACSM5,0.9853968878724756
SLC28A2,0.9852319844732937
VSIG2,0.9849639316227717
MMRN1,0.9848159935938765
ADAM33,0.9848146363642544
PDE5A,0.9842717445150964
LGR5,0.9842188125598034
APOC1,0.9838102864433123
PAXIP1,0.9835890580147812
NPNT,0.9835184820743904
GABBR1,0.9833834377269127
HPR,0.9830692390692125
PABPC1L,0.9828765124627619
CCDC144NL,0.9828113654408627
NCOA5,0.9823750161171024
BOK,0.9809390671760809
EPHA8,0.980732768273401
NLRP2,0.9801471236911221
SPRY1,0.9797229894339677
WNK4,0.9786555283355624
PDLIM3,0.9784091911590064
AQP1,0.9783867968702294
PBDC1,0.9778086170508756
CDC42EP1,0.9777835083028524
MAEL,0.9776138545999912
SLC22A25,0.977437414749015
ADAMTS18,0.9767560854783224
BHMT2,0.9763238078434304
TREM2,0.9762457671401137
GDPGP1,0.9762315162290742
ARHGAP1,0.9761405818443396
C3AR1,0.975547472499135
SPATA5,0.9754918260845965
CD5,0.97546536010695
ARSE,0.9751145162494321
SLC6A4,0.9745152993709248
SSRP1,0.9739866584328071
SLC6A5,0.9737084263601145
CHI3L2,0.9730868151928288
IGFL2,0.9729626286823343
MROH8,0.9729035891937385
FAM186B,0.9722405825229546
OMA1,0.972014603790743
SOX10,0.9714540679564875
KNSTRN,0.9713217380682555
CLP1,0.971114081935953
HIST1H3D,0.9706560169382262
C7orf61,0.9706505880197343
EPB42,0.9704843273909302
NSA2,0.9702759926438161
CCDC93,0.9701599495110587
KCNJ8,0.9697358152539036
RAB6C,0.9695525892548132
MAGEC3,0.9694636907145147
ERCC3,0.9694365461220552
LRRC37A,0.9693015017745785
SPX,0.9690938456422759
ST6GALNAC2,0.9687362156366432
SIGLEC1,0.9684328748159258
LPIN1,0.9683073310758087
GTF2H1,0.9678601239150647
SNX7,0.9678472302336475
SNAI2,0.96752488819821
HSPB7,0.96730433838449
ZNF185,0.9672853371697695
APLNR,0.9665490400993492
ECHDC3,0.9663793863964875
AGA,0.9662199119157984
MMD2,0.9662049823899457
ARL17A,0.9661880170196601
SLC22A1,0.9661663013456933
ISG20,0.9660373645315183
MTFR1L,0.966024470850101
CCDC85C,0.9654143961346104
SELPLG,0.9646767418345676
CR1,0.9644690857022654
ADRA1A,0.9642743232513801
PRSS3,0.9641671021111708
MAN2B2,0.964149458126073
CD84,0.9640245930007674
MYRF,0.9638345808535624
CDADC1,0.9636432114767343
TLR9,0.9635332758772803
DND1,0.9635285255735995
FAM64A,0.9635115602033133
HAP1,0.9633961956853673
CPM,0.9630765681091762
TFPI,0.9629612035912298
FAM155B,0.9627216525627893
ERBB3,0.9627162236442971
GEMIN7,0.9623253415129042
TMEM88B,0.9621332935212652
SLC25A18,0.9619616039739686
ARL17B,0.9618869563447097
CCDC141,0.9618645620559317
LRRC37A2,0.9617817710489351
EFHB,0.9611167285337179
FUT10,0.9610855122523907
ITGAX,0.9607041307283577
OLR1,0.9604448998703848
SLC6A9,0.9603376787301758
NINJ2,0.9602216355974186
ST5,0.95969231604449
NPIPA1,0.9593285785055544
SYNC,0.9590944563956055
LDLRAP1,0.9588236890858388
CKLF-CMTM1,0.9586893233531723
TPRG1,0.9584979539763439
ARHGAP42,0.958291655073664
IL7,0.9580758555636238
ITM2A,0.9579706702678501
HRASLS5,0.9575960748919315
SAPCD1,0.9573897759892512
FBL,0.9573504163301874
TRAPPC12,0.957214014753086
CIDEB,0.9571386885090158
PILRA,0.9571027219240095
MRPL1,0.9567403416146962
PACSIN2,0.9567389843850734
KIF19,0.9560800494031589
CD69,0.9557142760197893
HCRTR1,0.9556898458865766
LILRB4,0.9556810238940275
ACAN,0.9556111265684488
GYPC,0.9552643543997992
RDH5,0.9550526265786278
RYR3,0.9547533574467796
DUSP10,0.9547085688692245
LRRC37A3,0.9545545233070263
DKK3,0.9542430391085718
PCDH18,0.9542342171160232
ENPP1,0.9540984941537334
ZBTB48,0.9540109528430564
EPHA1,0.9537707231998055
TMEM132C,0.9535494947712733
GYG2,0.9532977286762265
PLXDC2,0.9528769874931288
TEX2,0.9527989467898128
METTL24,0.9527494079085772
WDR76,0.9527005476421532
FFAR4,0.9523741339178472
CERCAM,0.9522641983183934
FAM86C1,0.9517464152172588
EXOC3,0.9512014875236667
LHFP,0.9508465719772797
C16orf96,0.9507902469479292
MXRA5,0.9504285452534289
NAA40,0.9503002870540649
POLR2F,0.9502724638467963
BTNL9,0.9497132852421643
