gene,score
LTF,0.9936445460858633
GFAP,0.9914806696570969
C4B,0.9910549519653822
PLCE1,0.9870572321111489
NLRP2,0.9869072582378188
C4A,0.9861788783401995
APOC1,0.9852301748337967
APLNR,0.9845981582394022
SLC34A3,0.9804278440181239
FPR3,0.9804072593688438
CPM,0.9788959841837516
SIGLEC1,0.9787220325870839
ADAM33,0.9782949576657468
SLC28A2,0.9777360052660513
SERPINA3,0.97624531473024
ZNF98,0.9760516833040401
GEMIN7,0.975004806854915
ITGAX,0.9749903297389376
KNSTRN,0.9748679528679397
SNAI2,0.9745915304347438
LAMA2,0.973000178701901
NPNT,0.9716434014888816
TREM2,0.9705139602376968
MS4A7,0.9686165532248916
HRASLS5,0.9680840668028426
GYPC,0.9659762891984887
MS4A14,0.9658776638458919
MSR1,0.9657507628761514
KIF19,0.9653768461150439
CAPG,0.9652166930195422
PAXIP1,0.9643136829104436
PCDHGA2,0.9633685986830353
CMTM4,0.9626223485953807
CD84,0.9616175462645652
ANGPT1,0.9613388617819977
GDPD2,0.960115319276959
SLC37A2,0.9599669288381895
EFHB,0.9598877571101873
ENPP1,0.958499537410904
PILRA,0.9583183472562479
CAB39L,0.9575347733539638
SPX,0.9574427079445442
SLC22A1,0.9570473017144078
HIST1H3D,0.9567315196221479
ARSE,0.9545264738948197
SERPINA5,0.9538537404117386
MYL3,0.9532192355630359
ST5,0.9525632412453034
PADI2,0.9523791104264648
CCDC80,0.9509076473103106
TLR9,0.9504755958803562
GYG2,0.9500587001811907
PACSIN2,0.9497354533260046
TTLL5,0.9490613626133008
ARMC4,0.9474026018091876
IL13RA1,0.9470476862628003
GABBR1,0.9461903695510064
ABCA6,0.945032652682678
EPHA8,0.9449659222262188
ACSM5,0.9442857239802119
SALL2,0.9439197243919049
SPDYE2,0.9436181932106855
RAB32,0.9430682890084764
EIF3L,0.9429409356288613
FSBP,0.9427423276940448
IL18,0.941961015841132
LCN12,0.9419413360116003
CHI3L2,0.9417350371089205
APOBR,0.9409288427129215
CCDC138,0.9402332625311883
WLS,0.9397129911757457
CEBPA,0.93966186885995
SPDYA,0.9392289126102473
FAM160A1,0.9378524555676955
SLC22A25,0.9377850464964252
ARHGAP15,0.9377556398545956
PBXIP1,0.936950124073408
ADRA1A,0.9364312099475889
SPRY1,0.9357111996326434
TYMS,0.9353544744467598
ZNF185,0.9329845253202501
SLC22A6,0.9329820370659417
SLC16A8,0.932588440475302
PMM2,0.9325712489000787
KLHL6,0.9324054406811486
CD180,0.9319150283774097
HLA-DRB5,0.9318892410145745
LPIN1,0.9314128534169389
VSIG2,0.9305679779766874
