,gene,all-related_score,abeta-related_score,tau-related_score,CERAD_score,BRAAK_score,PLAQUES_score,TANGLES_score,ABETA_IHC_score,TAU_IHC_score
0,LTF,0.9950793922778162,0.9935887594242636,0.9965700251313688,0.9811370801919126,0.9985771076079508,0.999789581905415,0.997333104866347,0.9998396161754628,0.9937998629198086
1,GFAP,0.9943371030386118,0.9914914324880064,0.9971827735892173,0.9869095270733388,0.9969993145990416,0.9981309115832768,0.998185058259082,0.9894338588074034,0.9963639479095284
2,PLCE1,0.9918503541238299,0.98722526844871,0.9964754397989499,0.9826065798492126,0.9952398903358473,0.9885496915695691,0.9962481151473626,0.9905195339273484,0.9979383139136402
3,FPR3,0.989939684715559,0.9803214530500348,0.9995579163810828,0.9778889650445522,0.9994660726525016,0.9728910212474304,0.9996298834818372,0.9901843728581224,0.9995777930089104
4,C4B,0.9890684258624636,0.9910084532785018,0.9871283984464252,0.9839616175462652,0.9936360520904736,0.9973810829335163,0.9918937628512691,0.9916826593557244,0.9758553803975332
5,ZNF98,0.9838819968014626,0.975819968014622,0.9919440255883032,0.932888279643592,0.9799965729952028,0.9988012337217274,0.9969808087731328,0.9957703906785472,0.9988546949965736
6,NPNT,0.9837976924834368,0.9715087959789818,0.996086588987892,0.9482302947224129,0.9942912954078144,0.982867032213846,0.9971151473612072,0.983429061000686,0.9968533241946544
7,SLC28A2,0.9812686771761484,0.9776949965729956,0.9848423577793014,0.9573029472241265,0.97767306374229,0.9904955448937629,0.9803851953392738,0.9852864976010972,0.9964688142563404
8,EFHB,0.9785098240804208,0.9594928032899251,0.9975268448709164,0.9518396161754628,0.9990596298834824,0.9659033584647028,0.9984503084304324,0.9607354352296104,0.9950705962988344
9,KNSTRN,0.9784297464016452,0.9747073337902676,0.9821521590130229,0.9646209732693628,0.9823502398903364,0.9883440712817004,0.9831651816312548,0.97115695681974,0.980941055517478
10,HIST1H3D,0.9755042266392512,0.9563251085218192,0.9946833447566832,0.9619856065798496,0.9903995887594254,0.9366024674434552,0.9941740918437288,0.9703872515421528,0.9994763536668956
11,TREM2,0.9753717157870692,0.9703605209047298,0.9803829106694087,0.9502117888965051,0.980744345442084,0.984804660726526,0.9808779986291992,0.9760651130911584,0.9795263879369432
12,SLC22A1,0.9752870687685634,0.9566566141192604,0.9939175234178668,0.945388622344072,0.985230980123373,0.958668265935573,0.9979677861549009,0.9659129540781356,0.998553803975326
13,MSR1,0.9750783641763774,0.9655496915695688,0.9846070367831856,0.910472926662098,0.9842714187799878,0.9942419465387264,0.9818971898560664,0.9919342015078828,0.987652501713503
14,SPX,0.973996230294723,0.9573100297007091,0.9906824308887376,0.9463427004797812,0.989660726525018,0.9565428375599732,0.9927032213845112,0.9690445510623724,0.9896833447566832
15,CAPG,0.9729663011194888,0.9652981494174095,0.980634452821568,0.9761905414667588,0.9667004797806722,0.9839609321453056,0.9830925291295418,0.9357429746401644,0.9921103495544906
16,NLRP2,0.9700504912040216,0.9868007767877548,0.9533002056202884,0.9811055517477733,0.9555565455791644,0.9992871830020564,0.9371864290610009,0.9800095956134344,0.9671576422207
17,HRASLS5,0.9699933744573916,0.9679257482293814,0.9720610006854016,0.9618923920493494,0.9544503084304324,0.9845058259081568,0.9689499657299524,0.9573790267306382,0.99278272789582
18,PAXIP1,0.9693871373086592,0.9641697509709852,0.9746045236463337,0.9214599040438654,0.9610651130911588,0.9872816997943804,0.9752138450993836,0.9837676490747096,0.9875346127484584
19,ARSE,0.969330249029016,0.954258853095728,0.9844016449623038,0.9412762165867036,0.977169294037012,0.9466196024674438,0.9888217957505152,0.9748807402330368,0.987213845099384
