gene,all-related_score,abeta-related_score,tau-related_score,CERAD_score,BRAAK_score,PLAQUES_score,TANGLES_score,ABETA_IHC_score,TAU_IHC_score
LTF,0.995120646,0.993644546,0.996596747,0.981301447,0.998583731,0.999790987,0.997354081,0.999841204,0.993852428
GFAP,0.994333227,0.99148067,0.997185784,0.986779905,0.997003916,0.998142631,0.998194206,0.989519473,0.996359232
PLCE1,0.991745443,0.987057232,0.996433653,0.982738754,0.995162834,0.988401116,0.996218758,0.990031827,0.997919367
FPR3,0.989980252,0.980407259,0.999553245,0.978097028,0.999461858,0.972853372,0.999623369,0.990271378,0.999574509
C4B,0.989063104,0.991054952,0.987071257,0.9840193,0.993598626,0.997385297,0.99193602,0.991760259,0.975679124
ZNF98,0.984009573,0.976051683,0.991967463,0.933535787,0.980056189,0.998811067,0.996997129,0.995808196,0.998849069
NPNT,0.983866611,0.971643401,0.996089821,0.948457848,0.994306422,0.982953875,0.997122673,0.983518482,0.996840369
SLC28A2,0.981121615,0.977736005,0.984507224,0.957476639,0.976635971,0.990499393,0.980449786,0.985231984,0.996435915
EFHB,0.978716717,0.959887757,0.997545676,0.952313737,0.999064869,0.966232806,0.998458866,0.961116729,0.995113295
KNSTRN,0.978502388,0.974867953,0.982136822,0.964855218,0.982410304,0.988426903,0.983198854,0.971321738,0.980801308
HIST1H3D,0.975729002,0.95673152,0.994726484,0.962343664,0.990484463,0.937194878,0.994217523,0.970656017,0.999477467
SLC22A1,0.975509131,0.957047302,0.99397096,0.945917793,0.985372458,0.959057811,0.997983157,0.966166301,0.998557265
TREM2,0.975487641,0.97051396,0.980461322,0.950561554,0.980847454,0.98473456,0.980989285,0.976245767,0.979547228
MSR1,0.975172085,0.965750763,0.984593408,0.910984738,0.984190311,0.994275884,0.981978705,0.991991667,0.987611208
SPX,0.974074313,0.957442708,0.990705918,0.946533296,0.989660625,0.956700982,0.992745608,0.969093846,0.989711521
CAPG,0.972798969,0.965216693,0.980381246,0.976302092,0.966109976,0.983992155,0.982917908,0.935355832,0.992115853
NLRP2,0.970260611,0.986907258,0.953613963,0.981283125,0.955674238,0.999291526,0.937717411,0.980147124,0.967450241
HRASLS5,0.97014027,0.968084067,0.972196473,0.962139401,0.954680067,0.984516724,0.96910131,0.957596075,0.99280804
ARSE,0.969524427,0.954526474,0.98452238,0.941644555,0.977381768,0.94682035,0.988915506,0.975114516,0.987269865
PAXIP1,0.969524201,0.964313683,0.974734718,0.921974905,0.961301312,0.987377086,0.975324208,0.983589058,0.987578634
