gene,score
DSC1,0.991703933930063
APLNR,0.990616793002125
GSTO2,0.9891014461281636
GFAP,0.9867799048582043
CEBPA,0.9866903277030932
TAS2R46,0.9865579978148603
SLC37A2,0.9861141837281753
CPM,0.9854165677020077
PADI2,0.9849646102375839
C4B,0.9840192998052381
C4A,0.9828283308111493
PLCE1,0.9827387536560381
LRCH1,0.9813733806554068
LTF,0.9813014474853933
NLRP2,0.9812831248854844
KCNJ5,0.9792472804511438
FPR3,0.9780970283457419
FSBP,0.9780793843606435
HCRTR1,0.9773003345571029
SLC34A3,0.9767533710190761
TAS2R50,0.9763122713916361
CAPG,0.9763020921694645
CAB39L,0.9758426699421149
APOC1,0.975147089760382
QPRT,0.974678166925672
SIGLEC1,0.9740945581878275
TK2,0.9740877720397133
CD84,0.9737240345007774
ITGAX,0.9734634464131824
APOBR,0.971938598931861
TLR5,0.9711527629802057
MYL3,0.9701911657923848
P2RY2,0.9691990309380497
KIF19,0.9683948723864853
ECM2,0.9668584884533693
GEMIN7,0.966680012757959
ANGPT1,0.9663060959968516
STBD1,0.9662307697527814
HLA-DRB5,0.9660326142278386
KNSTRN,0.9648552175299779
IL13RA1,0.9647826057451532
ADAM33,0.9644283688135784
SNAI2,0.9634416628777344
KANSL1,0.9625879654449345
HIST1H3D,0.9623436641128132
HRASLS5,0.9621394010545679
GATSL3,0.9610990845486198
GYPC,0.9604007899076414
GPR26,0.9603885748410347
WLS,0.9594995894380396
C1orf168,0.9579564193568094
ARMC4,0.9575458573958843
SLC28A2,0.9574766386851161
FAM184B,0.9568733501177403
LAMA2,0.956513005652862
CMTM4,0.9564858610604037
LCN12,0.9560583337291924
ST5,0.9548361484537765
SERPINE3,0.9538087256292465
PIFO,0.9533886630609604
NKAIN4,0.9532461539505568
PINLYP,0.9531396114251592
CELSR1,0.9527575512863152
EFHB,0.9523137371996282
SPDYA,0.9520178611418382
SWAP70,0.9508927177844586
TREM2,0.9505615537564729
PGA5,0.949856472967379
TTLL5,0.9497675744270793
NPNT,0.9484578478409874
WDR78,0.947449426231177
CCDC3,0.9469995046111875
XKR9,0.9467144863903805
SPX,0.9465332962357242
SLC22A1,0.9459177926017421
TMEM133,0.9457522105877489
SPDYE2,0.9455513406035608
C2orf73,0.9454264754782543
TAS2R20,0.9450512014875241
TSPAN14,0.9448659396439988
CD109,0.944274187528417
SERPINA3,0.9441079268996133
FAM46B,0.9436152525465025
ENPP1,0.9431558303191528
SMARCAL1,0.942925101283261
BTBD16,0.9427561261952103
CPO,0.9423095976492786
ARSE,0.9416445551340609
NOM1,0.9416058740898087
ZNF33B,0.9413907531945791
KCNMB1,0.9406327404501937
HLA-DOA,0.9401984269708675
RAB32,0.9399853419200733
PBXIP1,0.9396609640402015
TNNT2,0.9396344980625551
DDAH2,0.9393515156861816
PACSIN2,0.9387916584667382
MACROD1,0.9387516201928627
ADORA1,0.9381462957810515
THBD,0.9375626870432073
SLC16A10,0.9371636615340774
FAM86B2,0.9371521250822827
CRLF3,0.936960755705454
GYG2,0.9369288608093163
NGB,0.9362814622791961
ABL2,0.936276033360704
SALL2,0.9361945995833306
C1QTNF5,0.9360439470951891
SLC2A9,0.9358932946070485
ZNF416,0.9356564580378535
SMAD7,0.9355987757788805
ZNF286A,0.93531715063213
ADORA2A,0.9352526822250428
CDC25A,0.9352499677657962
RCOR1,0.9352316451658875
TXK,0.9338560929430848
ZNF98,0.933535786752082
SLFN11,0.9333803839602601
TMEM241,0.9333681688936541
TM4SF18,0.9329888232140562
C2CD2,0.9327031263784362
EIF3L,0.9322009514179659
TLR9,0.9317679951682631
