gene,score
LTF,0.9997909866380748
NLRP2,0.9992915261368496
ZNF98,0.9988110668503452
GFAP,0.9981426312610707
C4B,0.9973852971314955
SERPINA5,0.9973377940946945
APOC1,0.9967331482976958
APLNR,0.9966286416167327
GEMIN7,0.9960090662938819
SERPINA3,0.994889351854994
PADI2,0.9945167923235102
MSR1,0.9942758840654469
SIGLEC1,0.9936386647574981
SPDYA,0.9935904831058853
SNAI2,0.9928080402282866
DSC1,0.9916041775527795
ITGAX,0.990803412075273
SLC28A2,0.990499392639744
FSBP,0.9898933896131228
SPATA9,0.9896592675031737
ECHDC3,0.9894380390746417
CD180,0.9891842371351605
GDPD2,0.9888218568258473
PILRA,0.988463548205404
KNSTRN,0.9884269030055857
PLCE1,0.9884011156427508
MS4A7,0.9883101812580172
CPM,0.9881948167400708
SLC22A6,0.9881540998513844
MS4A14,0.9878758677786912
PAXIP1,0.9873770858922774
C4A,0.9868219789765135
CMTM4,0.9862838374310365
ANGPT1,0.9859845682991886
ADAM33,0.9856418678194077
TREM2,0.9847345598165035
NMUR2,0.9847135227573488
FAM64A,0.9847101296832902
HRASLS5,0.9845167244620286
CCDC80,0.9844861867955138
GPR82,0.984401359944083
MYL3,0.9843090683297259
CAPG,0.9839921552127803
GPR26,0.9836053447702555
NPNT,0.982953874551267
FAM160A1,0.9829077287440879
CAB39L,0.9825731716420449
GYPC,0.9822637232880251
ERVMER34-1,0.9812071200266025
ARHGAP15,0.9804022828602267
RNF103-CHMP3,0.9803968539417348
ANGPTL7,0.9798858569887149
CR1,0.9787790362312458
ADRA1A,0.978329114611256
ENPP1,0.9782442877598255
SLC16A8,0.9777679001621895
CCDC138,0.9774279141416544
ZNF492,0.9773641243493788
CD69,0.9771951492613286
TPRG1,0.9766217197456559
GABBR1,0.9761297240073571
SLC6A13,0.975356103122307
ABCA6,0.975016795716584
PCDHGA2,0.9747385636438907
UPP2,0.974365325497595
DACT1,0.9738882592851482
IL20RB,0.9737823953745621
HLA-DOA,0.9737484646339892
MICB,0.9730759573558457
FPR3,0.9728533716976913
APOBR,0.9718585223841102
KIF19,0.9716556165554878
MROH8,0.971443210119504
LAMA2,0.9713821347864744
ZBTB48,0.9712912004017404
PCDH18,0.9712206244613504
UTP14A,0.9711439409876566
SLC37A2,0.971099152410101
SLC6A12,0.9709498571515823
PPP3R2,0.9708222775670305
KLHL6,0.9697629598463621
IFT122,0.9695919489138772
TTLL5,0.9694575831812117
CHI3L2,0.9687199288811685
IL7,0.9682964732388256
TMC6,0.9678132994930755
SRRD,0.9674733134725398
TYMS,0.9673301257473257
HIST3H2BB,0.9671075400891707
SLC34A3,0.9669059914901701
PCDHGA1,0.9666718693802221
EFHB,0.9662328055972158
HPR,0.9661235486125728
FAM118A,0.9658554957620518
ARMC4,0.9653797867792268
SIGLEC11,0.9649868688033991
CEBPA,0.9648653967521497
SGK1,0.9642634654143968
ZNF286A,0.9637293955577881
RGS5,0.9634443773369795
SPTY2D1-AS1,0.9633385134263946
PLCD3,0.9632835456266673
ADAMTS2,0.9628824842731024
NPIPB5,0.9627705128292138
PCDHGA7,0.9623178767499789
SLC25A18,0.961773627671198
HS3ST3B1,0.9615266118798313
ERCC3,0.9615103251243563
EPHA8,0.9613257418956425
MAEL,0.9611479448150437
TGFBI,0.9611072279263573
PDE8B,0.9610671896524817
HLA-DMB,0.9608052443352632
XRCC1,0.9606790219803343
C2orf73,0.9605480493217248
C1QTNF2,0.9605317625662501
LDLRAP1,0.9601619174940114
GYG2,0.9599495110580291
RAB32,0.9597880007329043
SALL2,0.9594928032899249
GATSL3,0.9593122917500797
SLC22A1,0.9590578111957878
IL18,0.9589756988036022
ARSF,0.9586832158198689
IL13RA1,0.958382589458398
LRR1,0.9577596210614896
HIST1H4H,0.9577243330912942
LCN12,0.957399276596612
AGA,0.9568740287325511
SPX,0.9567009819556327
WNK4,0.9566555147632657
LATS1,0.9562578464837579
TLR9,0.9561255165955257
PRRT4,0.9558418556043408
FBXL22,0.9554625099247417
AEBP1,0.9552419601110214
TMEM8A,0.9549800147938029
FAM86C1,0.9547567505208375
GJA1,0.9547506429875344
EIF3L,0.9545294145590024
SLC6A5,0.9544846259814467
EVI2B,0.9540448835836287
SLC35E2B,0.9540068811541885
PACSIN2,0.9536757171262019
RAB6C,0.9535752821341085
SERPINE3,0.9532420822616877
PRDX6,0.9532312244247041
TRAF5,0.9531972936841316
BGLAP,0.9530486770404258
STBD1,0.9528260913822709
DNAJC2,0.9528159121600991
FAM167A,0.9525906120426988
TNNT2,0.9520375409713704
NKAIN4,0.9516934832619657
LGR5,0.9516724462028108
INSM1,0.9516364796178044
ABCC4,0.9515543672256195
SSH1,0.9512679917751887
HLA-DRB5,0.9512374541086733
HAP1,0.9512225245828215
SLC22A25,0.9511580561757345
PAH,0.9510969808427046
ACSM5,0.95016184963253
AQP1,0.9501326691956383
HDHD3,0.9501007742995001
DUSP23,0.9496644249757397
FAM212B,0.949655602983191
SPDYE2,0.9495483818429827
DNAJC17,0.9495144511024098
GUCY1A3,0.949499521576558
TNC,0.9490272056677913
CEMP1,0.9486037500254489
WLS,0.948595606647711
GPR161,0.9485677834404412
ZNF586,0.9484815993593878
SHISA7,0.9481816516127282
SETD1B,0.947967209332311
CD5,0.9478043417775636
SETD9,0.9472295550322686
CD84,0.9471040112921507
ARSE,0.946820350300966
CTDSPL,0.9468189930713429
DESI2,0.9468027063158682
GPR27,0.9464606844508988
LRRC37B,0.9464559341472186
MAN1A1,0.946331747636724
MTTP,0.946132234882159
PABPC1L,0.9458899693944727
PDE6B,0.9458872549352271
PODNL1,0.9458730040241863
BMP2K,0.9457522105877488
THSD7A,0.9455438758406346
ALOX15B,0.9453620070711665
SMIM10,0.9450240568950662
CD160,0.9446874639485887
C14orf178,0.9445558126751675
L3MBTL2,0.9441303211883909
SLC10A5,0.9438636255674918
CDH23,0.9437048297016136
VSIG2,0.9434937804952532
ABCC11,0.9434890301915729
THBD,0.9434836012730813
LMO3,0.9434496705325087
EEF2K,0.9431802604523644
ST5,0.943161259237644
NPIPA1,0.9427262671435067
CCDC160,0.9426590842771737
PUS7,0.9418657835625924
TANGO2,0.9416126602379223
CDK11B,0.9415821225714073
CNGA3,0.9411858115215225
ACY1,0.9405906663318839
CSGALNACT1,0.9404590150584623
SLC2A9,0.9401353157934028
LRRN3,0.939969055164598
TMEM256-PLSCR3,0.9398068662246629
KIF16B,0.9394207343969494
RPS6KA5,0.9392558309977674
GRM2,0.9392280077904983
EZH2,0.9390027076730983
C1GALT1,0.938977598925074
