gene,score
FPR3,0.999574508513223
HIST1H3D,0.9994774665951862
ZNF98,0.9988490692797868
SLC22A1,0.9985572649108644
PCDHGA6,0.9983394295563902
PCDHA2,0.9981562035573001
PLCE1,0.9979193669881047
NMUR2,0.9978990085437613
ARL17A,0.9975223773234081
DSC1,0.9971138512069173
FAM186B,0.997051418644264
NPNT,0.9968403694379039
JMJD7-PLA2G4B,0.9966252485426754
SLC28A2,0.9964359150102815
GFAP,0.9963592315365888
NYNRIN,0.9960144952123735
C3orf67,0.9953548816156474
PPP3R2,0.9953474168527209
EFHB,0.9951132947427709
CAB39L,0.9949701070175571
IL7,0.994949748573213
FOXD4L4,0.9948384557441358
RPL9,0.9948289551367752
PGLYRP1,0.9947997746998831
C14orf178,0.9947359849076071
BCL2L14,0.9945093275605837
TXK,0.9943125292652648
RSPH10B,0.9942528111618572
LTF,0.9938524284231033
PCDHA8,0.9938449636601776
CD69,0.9937445286680833
FSBP,0.9937119551571343
OSTN,0.9937017759349628
RAB1B,0.9933081793443238
HIST1H1D,0.9931860286782622
TEAD2,0.9931161313526837
GPRC5A,0.9930665924714479
CRHR1,0.9929919448421891
HRASLS5,0.9928080402282868
SPATA9,0.9924239442450078
CAPG,0.9921158531206115
DND1,0.9920140608988938
ZNF670-ZNF695,0.9919977741434192
ST5,0.991841014121975
KIF25,0.991623178767501
SMIM22,0.9915566745159785
LRRC37A,0.9912343324805413
SULT1A4,0.9911386477921275
ZNF816,0.9909995317557809
PTGER3,0.9902143744189376
SPDYE2B,0.9900338628790918
HLA-C,0.9900168975088056
SLC22A25,0.989734593747244
SPX,0.9897115208436544
GOLGA7B,0.9896212650737319
SLC37A2,0.9895886915627827
TRAF3IP2,0.9894516113708706
NUTM2B,0.9893471046899076
SPRY1,0.9891251976465649
LPIN1,0.9889188987438845
SLC25A18,0.9887390658188516
ECHDC3,0.9886481314341173
CDRT4,0.9886447383600603
DESI2,0.9880380567186268
ZNF416,0.9879932681410712
PADI2,0.9878819753119938
RPP40,0.9877801830902769
MSR1,0.9876112080022265
PAXIP1,0.9875786344912769
TRAF5,0.9874211958550212
ARSE,0.9872698647520691
SPDYA,0.9872142183375302
ITGAX,0.9872074321894158
ADAMTS2,0.9871735014488432
TTC23L,0.987172822834032
ADAMTS18,0.987147035471197
SALL2,0.9871409279378937
HDHD3,0.9870031691311705
ZNF736,0.9869909540645639
SIGLEC1,0.9866414674366686
GPR161,0.9866007505479824
ARL17B,0.9865647839629754
TOR3A,0.986452133904275
GSTO2,0.9860585373136358
PCDHGA10,0.986050393935899
DACT1,0.9856147232269498
ERCC6L,0.985548218975428
ZNF624,0.9854287827686132
ITGA2B,0.9852896667322669
PPM1G,0.9852387706214083
BHMT2,0.985072509992604
PTGDR2,0.9850161849632534
SLX1B,0.9847399887349949
FAM107A,0.98454997658779
P2RY11,0.9844549705141875
ACY3,0.9842982104927429
DUSP10,0.9836664201032862
ITPKB,0.9836569194959256
UNK,0.9833230410086936
SLC34A3,0.983173067135364
PRRT4,0.9831689954464954
LMO3,0.9830095209658051
SLX4IP,0.9826261035973376
DKK3,0.9825982803900681
MUSK,0.9824191260798463
DAAM1,0.9822895106508602
PABPC1L,0.9817479760313252
PODNL1,0.9813292706926628
GPR34,0.9809594256204243
ARHGAP15,0.9809153156576804
HCRTR1,0.980869169850502
SNX21,0.9808528830950268
KNSTRN,0.9808013083693569
COL21A1,0.9805644718001623
RGPD5,0.9804497858970274
CYP21A2,0.9802848824978463
UBXN11,0.9801518739948025
SLC2A9,0.98011794325423
F2RL1,0.9799197877292878
ARMC4,0.979684987004527
TSSK4,0.9796273047455537
CAMK2N2,0.9795791230939415
TREM2,0.9795472281978027
SDHAF2,0.9791163077925342
HS3ST3B1,0.9789059372009854
P2RY14,0.9786752081650936
C1orf168,0.9786297409727268
ATP6AP1L,0.9785788448618687
CD84,0.9784790884845856
SSC5D,0.9783650811962629
SPATA6L,0.9781784621231149
AMOT,0.9781703187453773
CDNF,0.9779728418352467
TMEM184B,0.9775819597038531
COBLL1,0.9773295149939948
FAM118A,0.9772908339497423
TATDN2,0.9762824123399322
HEMK1,0.9762301589994513
GABBR1,0.9759139244973166
ACKR4,0.975794488290502
C20orf196,0.9757456280240777
C4B,0.975679123772556
ZC3HAV1L,0.9756465502616063
APOBR,0.975430072136755
OAZ3,0.9751966286416167
SAP25,0.9750541195312128
SYNC,0.974773172999274
JADE2,0.9746659518590656
ZNF486,0.9746632373998196
CHRFAM7A,0.9746123412889618
CSTF1,0.9743402167495707
LRCH1,0.9741155952469825
ZNF641,0.9738482210112723
ENPP1,0.9737321778785142
ST20,0.9736955326786967
TNKS1BP1,0.9736778886935992
NYAP2,0.9735455588053664
ACSM5,0.9732096444737002
NKAIN4,0.973131603770384
SULT1C2,0.9727373285649337
ARSF,0.9724760618625269
HRASLS,0.9724163437591193
PARPBP,0.9724054859221365
ARMC3,0.9724048073073244
CCDC160,0.972396663929587
LILRA1,0.9723905563962844
THEM5,0.9722317605304057
ERVMER34-1,0.9720824652718876
POLD3,0.9720166396351769
ERBB3,0.9718972034283619
GYPC,0.971819162725046
SLC5A8,0.9716671530072819
PGA3,0.9715592532522618
ESRP2,0.9715022496081004
SLC5A4,0.9714628899490364
DOK4,0.9712939148609862
MEPCE,0.9712871287128719
ADAM33,0.9711541202098279
FAM155B,0.9708724950630772
HIST2H2AC,0.9708718164482665
ETNK2,0.9706139428199164
MMD2,0.9705569391757544
SLIT2,0.9705189367463136
BTNL2,0.9704829701613069
RNF103-CHMP3,0.9702956724733481
SARM1,0.9701816651850248
ATP6V1C2,0.9700934452595366
ZFP36L1,0.9698701809865701
DGKG,0.9697317435650357
GPR82,0.969700527283709
SLC4A11,0.9695559823288713
KCNJ5,0.969256034582211
WLS,0.9691460989827566
ZNF367,0.9690782375016119
TAS2R50,0.969056521827646
GDPD2,0.9689513365318715
SULT1A1,0.9689140127172419
SLC6A16,0.9687477520884372
GP6,0.9685136299784883
RGS5,0.9683188675276032
RAB4B-EGLN2,0.9681872162541825
FAM46B,0.9680582794400069
SLC17A6,0.9679361287739469
CBX5,0.9679055911074311
PACSIN2,0.9678804823594087
PRRX1,0.9675045297538667
NLRP2,0.9674502405689515
ANGPT1,0.9672256190663618
NUP88,0.9671930455554125
